0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144
64,63,63,64,65,64,64,65,64,60,62,65,68,66,64,64,63,63,64,66,67,62,62,66,69,67,65,64,63,63,64,66,66,62,62,66,68,67,66,66,65,63,63,64,65,62,63,66,66,65,65,66,64,63,63,65,66,64,66,66,65,64,63,62,62,61,63,66,64,63,65,65,63,62,61,61,60,60,62,65,62,61,63,64,60,60,61,62,60,59,60,62,64,62,62,63,61,58,59,64,66,63,61,62,64,63,64,65,58,56,59,66,68,64,62,62,64,62,61,63,60,58,61,67,70,66,63,63,65,62,61,62,66,64,64,68,69,66,64,64,65,64,63,63,2
64,63,64,65,66,66,65,63,64,66,68,68,65,63,63,62,63,64,63,62,63,66,68,68,66,66,64,62,64,65,64,62,63,65,66,66,66,65,64,61,66,66,65,64,65,67,68,68,63,61,60,59,63,64,65,65,67,69,71,71,62,61,61,60,63,64,65,65,66,69,70,70,63,64,65,64,65,66,66,66,66,68,68,67,63,65,66,63,65,66,66,66,67,69,70,69,65,63,63,65,63,65,66,64,65,70,71,68,65,65,65,66,65,65,66,66,68,69,70,69,64,66,66,66,65,65,65,67,70,70,71,73,64,64,64,64,65,65,65,66,70,73,75,77,2
70,71,74,77,76,73,73,75,75,72,72,73,71,73,76,78,77,74,73,74,75,75,75,74,72,74,77,79,78,75,73,73,74,76,77,76,74,75,78,78,77,75,73,72,72,75,78,77,75,76,76,76,75,74,73,73,71,74,77,78,75,75,75,75,74,75,74,73,72,74,77,77,73,75,75,75,75,76,76,74,72,74,75,75,72,74,75,76,77,78,76,74,71,73,74,72,70,76,78,75,75,77,77,75,71,73,75,74,73,77,79,76,75,77,78,75,74,74,73,72,76,77,79,77,74,78,80,75,75,73,70,70,77,75,77,76,73,78,82,77,73,71,70,70,2
75,74,73,73,73,73,74,74,72,69,68,70,72,70,70,72,73,72,73,75,74,72,72,73,72,68,69,72,73,72,73,75,75,75,75,75,73,70,71,72,74,73,73,74,75,76,75,75,76,74,72,72,75,74,74,73,73,74,73,73,76,75,73,71,74,75,74,72,71,71,71,71,74,74,73,72,72,74,74,71,69,69,71,71,71,73,75,75,71,73,74,71,68,69,71,72,74,75,76,75,73,71,73,73,69,70,75,77,73,75,75,73,72,72,74,74,70,71,74,75,73,75,75,73,72,74,76,74,71,71,73,71,72,74,74,73,74,77,78,74,71,71,71,69,2
73,72,69,72,74,66,61,66,74,69,63,61,72,71,68,71,74,69,62,64,69,67,63,61,72,71,67,68,72,70,64,64,67,69,67,63,73,72,68,66,69,69,66,65,67,69,69,67,71,72,70,67,67,67,65,65,63,64,66,69,70,71,71,70,68,67,65,64,63,62,64,68,72,70,69,69,68,67,66,65,65,64,65,66,75,70,66,66,67,67,68,68,65,65,65,65,77,67,61,64,67,65,64,67,67,65,62,60,73,67,65,67,67,63,63,67,69,66,63,61,69,67,69,70,67,61,62,67,70,68,65,62,69,68,70,71,66,60,61,67,69,67,65,63,2
63,65,66,66,70,74,64,55,55,54,53,45,62,65,66,63,69,68,60,59,59,53,49,46,63,64,63,59,65,62,58,61,62,53,46,42,65,64,62,59,60,60,59,61,61,56,45,36,68,64,62,62,58,59,61,61,60,57,45,32,67,62,60,62,61,58,61,62,60,55,43,35,65,62,60,60,64,57,60,62,59,53,43,39,65,65,63,62,65,58,61,61,57,54,45,42,60,61,61,61,63,63,61,56,58,50,43,40,61,61,61,60,57,60,62,58,59,51,44,38,61,61,60,59,54,56,60,58,59,54,46,33,62,61,60,60,55,55,62,62,63,59,48,28,2
83,85,85,85,84,82,85,93,89,84,84,86,79,84,88,88,84,79,82,91,88,83,84,86,81,86,91,90,85,79,81,89,85,82,83,86,83,87,89,89,87,83,84,91,83,80,81,85,80,86,88,88,87,82,81,88,83,79,78,82,78,85,87,87,87,82,79,84,80,78,79,82,78,83,86,87,87,82,78,81,79,79,81,82,79,84,86,87,86,82,79,80,82,82,82,81,79,83,86,85,83,80,79,80,85,84,81,78,78,81,83,81,80,78,78,78,82,82,79,75,80,80,80,79,80,80,78,75,75,78,79,75,81,79,78,79,82,83,80,73,70,76,80,77,2
84,82,83,83,82,77,74,75,76,77,77,74,85,83,84,84,83,78,74,74,76,77,75,71,84,82,81,80,82,79,76,76,78,78,75,72,83,79,77,76,80,79,77,78,79,79,77,75,83,79,77,77,79,77,77,77,76,75,74,71,81,78,76,77,78,74,74,77,76,74,71,68,80,77,77,79,78,73,72,75,75,74,72,69,79,77,77,78,78,75,73,72,72,74,75,73,76,76,76,75,75,76,76,72,69,72,75,73,73,74,74,72,71,75,78,74,69,70,71,69,73,74,73,72,70,71,74,75,70,68,69,69,74,74,75,73,71,67,70,74,72,68,70,72,2
75,75,73,69,68,70,69,66,71,74,73,69,73,74,73,72,72,71,67,62,72,72,68,66,71,72,73,72,70,68,64,61,71,67,63,63,71,72,72,70,67,64,62,62,73,70,65,65,72,71,70,70,70,69,68,67,76,71,67,67,69,71,71,70,70,72,71,70,75,70,67,67,67,71,72,70,70,73,73,71,71,68,66,67,69,71,72,70,70,71,71,70,68,66,65,67,70,69,70,71,70,69,68,70,68,67,67,68,70,67,66,70,71,69,68,70,69,70,70,69,69,66,66,69,71,71,70,70,69,70,71,69,69,68,66,68,71,73,71,68,67,69,70,68,2
68,67,65,66,65,69,70,69,68,71,72,70,68,69,67,67,68,72,74,71,70,71,72,71,68,70,70,71,72,71,72,74,72,69,68,69,68,68,70,74,73,68,69,74,74,67,63,66,68,69,71,73,72,67,66,69,69,64,64,67,68,69,69,70,71,68,67,69,67,64,65,69,69,69,68,68,70,70,71,70,68,66,67,70,70,71,69,67,69,72,73,72,70,70,70,70,71,71,69,66,70,72,71,68,68,71,71,69,70,70,68,65,71,71,68,64,65,68,70,68,69,69,68,66,69,70,68,65,64,67,68,68,68,69,69,69,67,70,71,69,67,67,67,67,2
